epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,100.856,1.50545,2.01542,1.75831,0.21311,0.9,0.33616,0.10885,2.40407,2.62322,2.76992,0.00093575,0.00093575,0.00093575
45,102.348,1.29486,1.55682,1.60922,0.21311,0.9,0.33616,0.10885,2.40407,2.62322,2.76992,0.000911,0.000911,0.000911
46,103.754,1.2776,1.37206,1.51304,0.21311,0.9,0.33616,0.10885,2.40407,2.62322,2.76992,0.00088625,0.00088625,0.00088625
47,105.28,1.37121,1.29398,1.57874,0.21311,0.9,0.33616,0.10885,2.40407,2.62322,2.76992,0.0008615,0.0008615,0.0008615
48,106.771,1.17227,1.29642,1.43443,0.00669,1,0.27596,0.09341,2.41704,2.6526,2.33765,0.00083675,0.00083675,0.00083675
49,108.232,1.42111,1.55499,1.64785,0.00669,1,0.27596,0.09341,2.41704,2.6526,2.33765,0.000812,0.000812,0.000812
50,109.704,1.1515,1.23688,1.45851,0.00669,1,0.27596,0.09341,2.41704,2.6526,2.33765,0.00078725,0.00078725,0.00078725
51,111.135,1.44713,1.5695,1.72611,0.00669,1,0.27596,0.09341,2.41704,2.6526,2.33765,0.0007625,0.0007625,0.0007625
52,112.66,1.3129,1.44425,1.60993,0.43124,0.2,0.41284,0.10139,2.27163,2.52822,1.97037,0.00073775,0.00073775,0.00073775
53,114.131,1.26646,1.30413,1.47677,0.43124,0.2,0.41284,0.10139,2.27163,2.52822,1.97037,0.000713,0.000713,0.000713
54,115.439,1.4695,1.46893,1.62461,0.43124,0.2,0.41284,0.10139,2.27163,2.52822,1.97037,0.00068825,0.00068825,0.00068825
55,116.969,1.48702,1.60466,1.64796,0.43124,0.2,0.41284,0.10139,2.27163,2.52822,1.97037,0.0006635,0.0006635,0.0006635
56,118.476,1.58865,1.58666,1.705,0.42916,0.2,0.43265,0.13893,2.01507,2.39239,1.75819,0.00063875,0.00063875,0.00063875
57,119.874,1.21026,1.13751,1.37735,0.42916,0.2,0.43265,0.13893,2.01507,2.39239,1.75819,0.000614,0.000614,0.000614
58,121.297,1.18631,1.2198,1.41672,0.42916,0.2,0.43265,0.13893,2.01507,2.39239,1.75819,0.00058925,0.00058925,0.00058925
59,122.646,1.42279,1.24009,1.53398,0.42916,0.2,0.43265,0.13893,2.01507,2.39239,1.75819,0.0005645,0.0005645,0.0005645
60,124.196,1.23624,1.25059,1.48682,0.67088,0.7,0.745,0.17359,1.93304,2.21121,1.51517,0.00053975,0.00053975,0.00053975
61,125.688,1.30037,1.40016,1.54493,0.67088,0.7,0.745,0.17359,1.93304,2.21121,1.51517,0.000515,0.000515,0.000515
62,127.09,1.16763,1.22336,1.3303,0.67088,0.7,0.745,0.17359,1.93304,2.21121,1.51517,0.00049025,0.00049025,0.00049025
63,128.593,1.47806,1.6494,1.60605,0.67088,0.7,0.745,0.17359,1.93304,2.21121,1.51517,0.0004655,0.0004655,0.0004655
64,130.15,1.13513,1.16716,1.39932,1,0.70876,0.97682,0.30338,1.831,2.10248,1.42028,0.00044075,0.00044075,0.00044075
65,131.497,1.08666,1.15437,1.31444,1,0.70876,0.97682,0.30338,1.831,2.10248,1.42028,0.000416,0.000416,0.000416
66,133.004,1.12618,1.17748,1.42745,1,0.70876,0.97682,0.30338,1.831,2.10248,1.42028,0.00039125,0.00039125,0.00039125
67,134.498,1.13641,1.12616,1.35341,1,0.70876,0.97682,0.30338,1.831,2.10248,1.42028,0.0003665,0.0003665,0.0003665
68,135.974,0.91907,0.91948,1.22774,1,0.81403,0.995,0.28382,1.88559,2.02976,1.45148,0.00034175,0.00034175,0.00034175
69,137.364,1.02599,1.02119,1.27505,1,0.81403,0.995,0.28382,1.88559,2.02976,1.45148,0.000317,0.000317,0.000317
70,138.909,1.18048,1.3649,1.36798,1,0.81403,0.995,0.28382,1.88559,2.02976,1.45148,0.00029225,0.00029225,0.00029225
71,140.385,1.02365,1.49391,1.21678,1,0.81403,0.995,0.28382,1.88559,2.02976,1.45148,0.0002675,0.0002675,0.0002675
72,141.857,1.3436,1.7711,1.58532,0.97093,1,0.995,0.31679,1.78753,1.93184,1.40236,0.00024275,0.00024275,0.00024275
73,143.406,0.93475,1.38116,1.23106,0.97093,1,0.995,0.31679,1.78753,1.93184,1.40236,0.000218,0.000218,0.000218
74,144.829,1.00381,1.38341,1.22067,0.97093,1,0.995,0.31679,1.78753,1.93184,1.40236,0.00019325,0.00019325,0.00019325
75,146.412,0.96055,1.37184,1.19657,0.97093,1,0.995,0.31679,1.78753,1.93184,1.40236,0.0001685,0.0001685,0.0001685
76,147.934,1.03519,1.66993,1.21745,0.9482,1,0.995,0.38345,1.60959,1.89539,1.32495,0.00014375,0.00014375,0.00014375
77,149.379,1.20993,1.51806,1.45095,0.9482,1,0.995,0.38345,1.60959,1.89539,1.32495,0.000119,0.000119,0.000119
78,150.871,1.08133,1.55262,1.26591,0.9482,1,0.995,0.38345,1.60959,1.89539,1.32495,9.425e-05,9.425e-05,9.425e-05
79,152.267,1.05962,1.4561,1.26974,0.9482,1,0.995,0.38345,1.60959,1.89539,1.32495,6.95e-05,6.95e-05,6.95e-05
80,153.722,0.82423,1.25387,1.13662,0.9687,1,0.995,0.41714,1.44894,1.83795,1.24816,4.475e-05,4.475e-05,4.475e-05
